epoch,train_loss,val_loss,train_descriptor_loss,val_descriptor_loss,val_rmse,learning_rate,elapsed_seconds,train_alignment_loss,val_alignment_loss,val_alignment_spearman,val_alignment_kendall
0,1.006330,0.861879,0.954356,0.822395,0.906860,1.20e-05,54.6,1.039483,0.789664,0.375195,0.260340
1,0.976775,0.858006,0.926108,0.817923,0.904391,2.40e-05,105.5,1.013341,0.801648,0.375768,0.260340
2,0.941015,0.850373,0.890272,0.811456,0.900808,3.60e-05,155.3,1.014858,0.778340,0.383422,0.265849
3,0.919512,0.840746,0.869332,0.803477,0.896369,4.80e-05,208.9,1.003585,0.745387,0.393248,0.273553
4,0.899025,0.825274,0.849097,0.788608,0.888036,6.00e-05,262.9,0.998566,0.733313,0.395842,0.275772
5,0.873646,0.798184,0.826319,0.761927,0.872884,7.20e-05,314.1,0.946540,0.725148,0.398654,0.279001
6,0.838122,0.743460,0.791746,0.705091,0.839697,8.40e-05,364.4,0.927517,0.767373,0.378532,0.264050
7,0.785417,0.684755,0.738244,0.645359,0.803342,9.60e-05,414.1,0.943471,0.787926,0.356479,0.247348
8,0.733761,0.640160,0.686656,0.599060,0.773990,1.08e-04,466.8,0.942117,0.821999,0.361684,0.251194
9,0.694175,0.607587,0.649433,0.569172,0.754435,1.20e-04,521.4,0.894843,0.768295,0.388293,0.269806
10,0.665454,0.585611,0.622392,0.548553,0.740644,1.32e-04,572.0,0.861249,0.741161,0.407179,0.284130
11,0.641123,0.567844,0.600684,0.531295,0.728900,1.44e-04,623.3,0.808779,0.730964,0.434773,0.304528
12,0.617868,0.545017,0.577371,0.509465,0.713768,1.56e-04,673.1,0.809931,0.711035,0.456043,0.320184
13,0.595916,0.539039,0.555849,0.502847,0.709117,1.68e-04,726.9,0.801336,0.723838,0.465681,0.327296
14,0.575569,0.519398,0.537523,0.485913,0.697074,1.80e-04,780.1,0.760924,0.669697,0.472844,0.332781
15,0.563679,0.509096,0.526516,0.473535,0.688139,1.92e-04,832.7,0.743256,0.711233,0.494723,0.350211
16,0.546162,0.499126,0.509456,0.462908,0.680373,2.04e-04,884.8,0.734111,0.724370,0.504837,0.358076
17,0.533536,0.473347,0.497242,0.441235,0.664255,2.16e-04,935.0,0.725883,0.642239,0.511054,0.362784
18,0.517379,0.477828,0.483183,0.440201,0.663477,2.28e-04,986.0,0.683922,0.752534,0.515962,0.366741
19,0.507531,0.457782,0.473809,0.420395,0.648379,2.40e-04,1036.7,0.674452,0.747745,0.518135,0.368985
20,0.499899,0.466503,0.466562,0.429247,0.655169,2.52e-04,1090.7,0.666748,0.745132,0.529218,0.377811
21,0.493890,0.440616,0.460134,0.407131,0.638068,2.64e-04,1143.0,0.675134,0.669712,0.532776,0.380226
22,0.484631,0.428052,0.453209,0.397139,0.630189,2.76e-04,1193.6,0.628430,0.618258,0.543344,0.389372
23,0.482397,0.423591,0.450503,0.390675,0.625040,2.88e-04,1244.3,0.637878,0.658306,0.543885,0.391516
24,0.475419,0.422207,0.443434,0.392222,0.626277,3.00e-04,1292.4,0.639711,0.599688,0.540673,0.387571
25,0.468652,0.421046,0.436610,0.387455,0.622458,3.00e-04,1343.5,0.640845,0.671826,0.544856,0.391874
26,0.464289,0.411862,0.433452,0.381079,0.617316,3.00e-04,1394.9,0.616733,0.615653,0.552870,0.397090
27,0.459557,0.411089,0.429108,0.378578,0.615287,3.00e-04,1443.6,0.608975,0.650210,0.554661,0.399431
28,0.453046,0.405894,0.423231,0.374571,0.612022,3.00e-04,1493.0,0.596297,0.626454,0.554573,0.399159
29,0.452552,0.404290,0.422202,0.372896,0.610652,3.00e-04,1547.4,0.607004,0.627878,0.566910,0.409673
30,0.445166,0.399676,0.415742,0.369393,0.607777,3.00e-04,1602.3,0.588497,0.605665,0.567981,0.409514
31,0.439623,0.392697,0.412028,0.362803,0.602331,3.00e-04,1660.3,0.551888,0.597886,0.570682,0.412324
32,0.437075,0.385446,0.409363,0.357696,0.598077,3.00e-04,1713.4,0.554231,0.554996,0.574858,0.415072
33,0.434150,0.385079,0.406936,0.356377,0.596973,3.00e-04,1769.0,0.544269,0.574035,0.584051,0.423343
34,0.429978,0.381937,0.403493,0.354125,0.595084,3.00e-04,1820.0,0.529704,0.556244,0.579839,0.419719
35,0.425961,0.378991,0.400313,0.350286,0.591850,3.00e-04,1870.8,0.512963,0.574093,0.585941,0.424748
36,0.423015,0.382445,0.396520,0.353662,0.594695,3.00e-04,1923.2,0.529906,0.575658,0.590756,0.429123
37,0.422479,0.373270,0.397316,0.344758,0.587161,3.00e-04,1975.7,0.503260,0.570245,0.594557,0.431428
38,0.420100,0.368033,0.394172,0.340113,0.583192,3.00e-04,2030.1,0.518566,0.558399,0.592256,0.430009
39,0.415035,0.368786,0.389845,0.340119,0.583197,3.00e-04,2084.1,0.503799,0.573342,0.586895,0.425141
40,0.414080,0.362694,0.388708,0.335941,0.579605,3.00e-04,2137.9,0.507434,0.535053,0.596657,0.433227
41,0.412764,0.358558,0.388293,0.333017,0.577077,3.00e-04,2190.8,0.489412,0.510820,0.599844,0.436346
42,0.409773,0.356365,0.385295,0.329866,0.574340,3.00e-04,2246.1,0.489574,0.529978,0.601034,0.437838
43,0.406906,0.354364,0.383204,0.328364,0.573031,3.00e-04,2296.4,0.474056,0.519984,0.597279,0.434213
44,0.404322,0.352847,0.380875,0.327621,0.572382,3.00e-04,2348.3,0.468942,0.504536,0.605758,0.441523
45,0.403126,0.349113,0.378615,0.324264,0.569442,3.00e-04,2400.1,0.490232,0.496977,0.610463,0.445406
46,0.401518,0.350264,0.378631,0.326290,0.571218,3.00e-04,2454.7,0.457732,0.479467,0.605356,0.440117
47,0.398783,0.345160,0.375504,0.320668,0.566275,3.00e-04,2507.4,0.465577,0.489836,0.605572,0.440746
48,0.396756,0.342254,0.374307,0.319911,0.565607,3.00e-04,2561.3,0.448978,0.446854,0.614095,0.447550
49,0.396167,0.344125,0.374384,0.320703,0.566307,3.00e-04,2613.0,0.435657,0.468444,0.613181,0.447081
50,0.394426,0.341379,0.372475,0.319238,0.565012,3.00e-04,2664.5,0.439022,0.442814,0.621920,0.454318
51,0.391522,0.338621,0.369415,0.316810,0.562858,3.00e-04,2717.6,0.442143,0.436218,0.623409,0.455747
52,0.389591,0.337247,0.368440,0.315577,0.561763,3.00e-04,2768.3,0.423022,0.433390,0.623621,0.455759
53,0.388215,0.337720,0.366994,0.315969,0.562111,3.00e-04,2822.1,0.424400,0.435023,0.628287,0.459642
54,0.387829,0.331809,0.366380,0.309524,0.556349,3.00e-04,2874.6,0.428982,0.445695,0.627766,0.459888
55,0.384014,0.330806,0.363692,0.309512,0.556338,3.00e-04,2926.5,0.406447,0.425870,0.627310,0.460024
56,0.385801,0.331805,0.365537,0.309781,0.556580,3.00e-04,2976.9,0.405262,0.440480,0.625724,0.458903
57,0.386025,0.329943,0.365222,0.308399,0.555337,3.00e-04,3030.8,0.416062,0.430886,0.627621,0.460578
58,0.382747,0.325175,0.362486,0.304677,0.551975,3.00e-04,3084.5,0.405238,0.409971,0.633884,0.464745
59,0.380796,0.323123,0.360660,0.304076,0.551431,3.00e-04,3136.3,0.402718,0.380942,0.640285,0.469012
60,0.379513,0.322584,0.359689,0.303448,0.550862,3.00e-04,3188.4,0.396487,0.382711,0.642269,0.470268
61,0.378703,0.321682,0.359012,0.302651,0.550137,3.00e-04,3240.7,0.393816,0.380626,0.645597,0.474435
62,0.376255,0.320461,0.356828,0.300222,0.547925,3.00e-04,3292.1,0.388552,0.404779,0.636650,0.467814
63,0.377134,0.320169,0.358484,0.300251,0.547952,3.00e-04,3346.1,0.372987,0.398359,0.640562,0.470699
64,0.375099,0.317116,0.355653,0.298272,0.546143,2.99e-04,3400.9,0.388922,0.376881,0.650675,0.479278
65,0.373705,0.317379,0.354919,0.298524,0.546373,2.99e-04,3457.0,0.375719,0.377107,0.647916,0.475802
66,0.374540,0.315404,0.355363,0.296711,0.544712,2.99e-04,3509.6,0.383541,0.373868,0.648933,0.477466
67,0.371755,0.314591,0.353062,0.295638,0.543726,2.99e-04,3561.9,0.373843,0.379059,0.651332,0.479993
68,0.371446,0.311564,0.352852,0.293493,0.541750,2.99e-04,3611.9,0.371880,0.361418,0.656921,0.482040
69,0.370580,0.311944,0.351916,0.293523,0.541777,2.99e-04,3662.7,0.373265,0.368431,0.656725,0.483432
70,0.369180,0.311279,0.350701,0.293545,0.541798,2.99e-04,3717.9,0.369581,0.354683,0.659561,0.484788
71,0.368031,0.308928,0.350726,0.290917,0.539367,2.99e-04,3773.5,0.346104,0.360219,0.655770,0.481830
72,0.368334,0.308113,0.350506,0.291152,0.539585,2.99e-04,3827.1,0.356555,0.339239,0.666897,0.489855
73,0.367747,0.308858,0.350277,0.291502,0.539910,2.99e-04,3881.6,0.349403,0.347121,0.662992,0.487089
74,0.364589,0.307912,0.346911,0.290575,0.539050,2.99e-04,3931.6,0.353560,0.346742,0.666438,0.490951
75,0.365297,0.308240,0.347850,0.291110,0.539546,2.99e-04,3983.1,0.348945,0.342612,0.668131,0.491383
76,0.365704,0.305000,0.348503,0.288411,0.537039,2.99e-04,4036.4,0.344030,0.331773,0.673021,0.495155
77,0.365174,0.302654,0.348054,0.285898,0.534694,2.99e-04,4086.6,0.342414,0.335122,0.671413,0.493528
78,0.362559,0.300141,0.345648,0.283298,0.532257,2.99e-04,4141.3,0.338222,0.336859,0.667625,0.490114
79,0.360619,0.298860,0.343671,0.282197,0.531222,2.99e-04,4192.5,0.338964,0.333276,0.672137,0.494538
80,0.361300,0.299726,0.344081,0.283001,0.531979,2.99e-04,4244.1,0.344366,0.334492,0.673005,0.495253
81,0.360246,0.298941,0.343348,0.282607,0.531608,2.99e-04,4296.2,0.337961,0.326682,0.679771,0.501601
82,0.357298,0.297077,0.341123,0.280276,0.529411,2.99e-04,4345.9,0.323507,0.336010,0.672191,0.495179
83,0.358870,0.296621,0.343101,0.280642,0.529757,2.99e-04,4395.4,0.315386,0.319581,0.682194,0.503093
84,0.357632,0.295961,0.341690,0.280071,0.529218,2.99e-04,4447.6,0.318856,0.317789,0.683337,0.504239
85,0.356169,0.296829,0.339829,0.281108,0.530197,2.99e-04,4498.6,0.326796,0.314404,0.685535,0.505165
86,0.355548,0.292313,0.338836,0.276767,0.526087,2.99e-04,4548.4,0.334237,0.310909,0.686475,0.505718
87,0.354345,0.290305,0.338643,0.275043,0.524445,2.99e-04,4602.2,0.314053,0.305259,0.689323,0.507149
88,0.351514,0.290985,0.336196,0.275622,0.524997,2.99e-04,4656.1,0.306369,0.307268,0.687811,0.506742
89,0.351663,0.289945,0.336073,0.274761,0.524176,2.99e-04,4703.5,0.311808,0.303690,0.692945,0.511980
90,0.350897,0.288050,0.335668,0.272988,0.522482,2.99e-04,4749.2,0.304584,0.301254,0.692755,0.510489
91,0.349443,0.287960,0.333779,0.273180,0.522667,2.99e-04,4795.3,0.313279,0.295585,0.698067,0.515074
92,0.351218,0.285762,0.335732,0.270747,0.520334,2.98e-04,4843.5,0.309731,0.300286,0.696224,0.514715
93,0.352274,0.284079,0.336400,0.269166,0.518812,2.98e-04,4889.9,0.317491,0.298262,0.695775,0.513262
94,0.346630,0.282675,0.331494,0.268273,0.517951,2.98e-04,4939.1,0.302720,0.288025,0.703310,0.518882
95,0.347281,0.282887,0.331935,0.268267,0.517945,2.98e-04,4987.1,0.306926,0.292402,0.699041,0.516258
96,0.347336,0.282922,0.332083,0.268593,0.518259,2.98e-04,5034.9,0.305060,0.286575,0.702757,0.517588
97,0.346457,0.281245,0.331364,0.266792,0.516519,2.98e-04,5082.8,0.301870,0.289052,0.701080,0.515924
98,0.345056,0.280549,0.330107,0.266195,0.515941,2.98e-04,5130.9,0.298973,0.287070,0.703579,0.519080
99,0.345338,0.280692,0.330991,0.266628,0.516361,2.98e-04,5180.1,0.286935,0.281279,0.710760,0.525564
100,0.343902,0.279084,0.328737,0.265187,0.514963,2.98e-04,5226.8,0.303286,0.277956,0.712672,0.526895
101,0.342135,0.277201,0.327912,0.263343,0.513170,2.98e-04,5276.5,0.284457,0.277153,0.713785,0.527745
102,0.343746,0.277878,0.328782,0.264109,0.513916,2.98e-04,5326.0,0.299296,0.275380,0.715055,0.528200
103,0.342449,0.276632,0.327651,0.262819,0.512658,2.98e-04,5371.8,0.295966,0.276276,0.714293,0.528616
104,0.339949,0.275882,0.325719,0.262274,0.512127,2.98e-04,5416.1,0.284604,0.272164,0.717604,0.531431
105,0.340194,0.274477,0.326070,0.260896,0.510780,2.98e-04,5461.5,0.282481,0.271626,0.716609,0.529767
106,0.340709,0.274457,0.326158,0.261046,0.510927,2.98e-04,5508.5,0.291003,0.268223,0.720576,0.534599
107,0.337755,0.272708,0.323871,0.259351,0.509265,2.98e-04,5556.8,0.277690,0.267128,0.721551,0.535190
108,0.337910,0.272235,0.323683,0.259038,0.508958,2.98e-04,5606.2,0.284544,0.263937,0.724886,0.538095
109,0.337774,0.271607,0.324265,0.258294,0.508227,2.98e-04,5653.9,0.270168,0.266263,0.723712,0.536990
110,0.334770,0.270872,0.321118,0.257629,0.507572,2.98e-04,5703.0,0.273032,0.264862,0.724429,0.537150
111,0.337197,0.270759,0.323418,0.257539,0.507483,2.97e-04,5746.8,0.275579,0.264395,0.725330,0.538752
112,0.336681,0.270273,0.322309,0.257205,0.507154,2.97e-04,5796.6,0.287443,0.261363,0.728046,0.541328
113,0.334612,0.270146,0.321010,0.257237,0.507185,2.97e-04,5846.3,0.272043,0.258189,0.731513,0.544631
114,0.333920,0.268892,0.320287,0.255943,0.505908,2.97e-04,5896.9,0.272652,0.258986,0.732253,0.545321
115,0.333618,0.269093,0.320318,0.256202,0.506164,2.97e-04,5946.2,0.266003,0.257816,0.733230,0.545912
116,0.334592,0.269269,0.320784,0.256664,0.506620,2.97e-04,5995.8,0.276159,0.252100,0.738559,0.550942
117,0.332608,0.267719,0.319357,0.255032,0.505007,2.97e-04,6045.5,0.265003,0.253745,0.735562,0.548564
118,0.333897,0.266213,0.320110,0.253280,0.503270,2.97e-04,6096.3,0.275739,0.258656,0.730937,0.544878
119,0.332976,0.266809,0.319662,0.254228,0.504210,2.97e-04,6148.3,0.266281,0.251614,0.737906,0.551226
120,0.332371,0.266511,0.318880,0.253781,0.503767,2.97e-04,6197.7,0.269823,0.254598,0.735298,0.549142
121,0.332209,0.265610,0.318935,0.252903,0.502895,2.97e-04,6246.3,0.265485,0.254146,0.735710,0.549192
122,0.332237,0.264561,0.318879,0.252113,0.502109,2.97e-04,6297.9,0.267176,0.248941,0.740003,0.552804
123,0.329834,0.265530,0.316950,0.253092,0.503082,2.97e-04,6349.2,0.257688,0.248763,0.741929,0.555281
124,0.327815,0.264864,0.315096,0.252727,0.502719,2.97e-04,6398.4,0.254372,0.242753,0.745716,0.559090
125,0.328708,0.264449,0.315403,0.252067,0.502063,2.97e-04,6443.9,0.266095,0.247643,0.741270,0.554147
126,0.328880,0.263190,0.316210,0.250764,0.500764,2.97e-04,6498.1,0.253400,0.248518,0.741259,0.554949
127,0.327758,0.262752,0.314828,0.250634,0.500634,2.96e-04,6555.1,0.258593,0.242358,0.746882,0.560236
128,0.327397,0.261925,0.314260,0.249763,0.499763,2.96e-04,6605.3,0.262739,0.243240,0.746216,0.560150
129,0.327835,0.262401,0.314811,0.250338,0.500338,2.96e-04,6655.5,0.260466,0.241254,0.748905,0.562813
130,0.327316,0.260254,0.314576,0.248182,0.498178,2.96e-04,6705.9,0.254798,0.241447,0.748084,0.561506
131,0.327767,0.261348,0.315072,0.249364,0.499364,2.96e-04,6754.8,0.253907,0.239681,0.749168,0.563294
132,0.328014,0.259229,0.315443,0.247335,0.497328,2.96e-04,6802.8,0.251435,0.237880,0.752641,0.565574
133,0.328034,0.260020,0.315045,0.248052,0.498049,2.96e-04,6851.5,0.259781,0.239357,0.750544,0.564354
134,0.325934,0.259871,0.313210,0.248052,0.498048,2.96e-04,6902.2,0.254462,0.236387,0.753815,0.566794
135,0.325391,0.259771,0.312729,0.248078,0.498075,2.96e-04,6953.7,0.253242,0.233855,0.756218,0.569505
136,0.324540,0.259116,0.311702,0.247370,0.497363,2.96e-04,7002.3,0.256756,0.234930,0.755637,0.569037
137,0.323929,0.258493,0.311925,0.246679,0.496668,2.96e-04,7050.7,0.240074,0.236294,0.756152,0.569666
138,0.322923,0.257339,0.310849,0.245696,0.495677,2.96e-04,7098.0,0.241484,0.232857,0.759253,0.572107
139,0.323954,0.257453,0.311554,0.245878,0.495861,2.96e-04,7148.0,0.247985,0.231500,0.759664,0.572760
140,0.323440,0.258595,0.311191,0.247189,0.497181,2.96e-04,7198.8,0.244971,0.228111,0.764124,0.577160
141,0.320509,0.256598,0.307923,0.245095,0.495070,2.95e-04,7249.0,0.251707,0.230076,0.760515,0.573253
142,0.322176,0.257047,0.310119,0.245810,0.495793,2.95e-04,7296.5,0.241135,0.224730,0.766560,0.579773
143,0.321915,0.257278,0.309592,0.245805,0.495788,2.95e-04,7347.7,0.246468,0.229447,0.761653,0.574535
144,0.320370,0.256787,0.308378,0.245439,0.495418,2.95e-04,7397.5,0.239857,0.226954,0.765081,0.577776
145,0.320402,0.257782,0.308384,0.246453,0.496440,2.95e-04,7447.0,0.240347,0.226572,0.765959,0.578848
146,0.321123,0.254680,0.309182,0.243387,0.493342,2.95e-04,7498.2,0.238806,0.225864,0.765905,0.579267
147,0.320255,0.253272,0.308696,0.242055,0.491991,2.95e-04,7547.8,0.231185,0.224337,0.768093,0.581190
